Title,Address,Price,Agent_Info,Bedroom,Bathroom,Toilet,Parking_Space,SQM,Link
Luxury 3 Bedroom Apartment With Excellent Features,"Eighteen 65 Residences, Ikeja, Lagos","₦240,000,000","Reg Integrated Services
  09020197930",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/ikeja/3358221-luxury-3-bedroom-apartment-with-excellent-features
Direct Listing: Well Maintained 3-Bedroom Apartment,"County Apartments, Megamound Estate, Ikota, Lekki, Lagos","₦120,000,000","B A Leasing Services Ltd
  07039337095",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/ikota/3045990-direct-listing-well-maintained-3-bedroom-apartment
3 Bedroom Terrace Duplex In Pristine Condition,"Ikate, Lekki, Lagos","₦175,000,000","Breathing Space.
  07057302511",3,3,4,3,N/A,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikate/3356813-3-bedroom-terrace-duplex-in-pristine-condition
Exquisitely Built 3-Bedroom Apartments,"Off Isaac John Street, Ikeja GRA, Ikeja, Lagos","₦340,000,000","Leeward Properties
  +2348022990214",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikeja/gra/3350960-exquisitely-built-3-bedroom-apartments
3 Bedroom Flats With Servant Quarters,"Mobolaji Bank Anthony Way,, Ikeja, Lagos","₦220,000,000","Leeward Properties
  +2348022990214",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikeja/3330440-3-bedroom-flats-with-servant-quarters
Luxury 3 Bedroom Maissionannate With Bq,"Oladimeji Alo, Lekki Phase 1, Lekki, Lagos","₦380,000,000","Divention Properties Limited
  08032443481",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3358196-luxury-3-bedroom-maissionannate-with-bq
3-Bedroom Apartment + Bq,"Victoria Island (VI), Lagos","₦750,000,000","C W Real Estate
  +2349062511340",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/3358165-3-bedroom-apartment-bq
Two Units Of 3-Bedroom Maisonettes With Bq,"Victoria Island (VI), Lagos","₦450,000,000","C W Real Estate
  +2349062511340",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/3358120-two-units-of-3-bedroom-maisonettes-with-bq
Luxury 3-Bedroom Water View Apartment,"Banana Island, Ikoyi, Lagos","₦414,000,000","Heaven's Residences
  +2347050211581",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/banana-island/3358117-luxury-3-bedroom-water-view-apartment
3 Bedroom Maisonette On 2nd Floor,"By Hotel Newcastle, Anthony, Maryland, Lagos","₦210,000,000","17 Three Digital Realtors
  09067442944",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/maryland/anthony/3358057-3-bedroom-maisonette-on-2nd-floor
