Title,Address,Price,Agent_Info,Bedroom,Bathroom,Toilet,Parking_Space,SQM,Link
16 Units Of 3 Bedroom Flat,"Off Isaac John Street, Ikeja GRA, Ikeja, Lagos","₦400,000,000","Leeward Properties
  +2348022990214",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikeja/gra/3356578-16-units-of-3-bedroom-flat
Uncompleted Building,"Igbogbo, Ikorodu, Lagos","₦7,000,000","Nikolight
  07085741001",3,3,3,3,N/A,https://nigeriapropertycentre.com/for-sale/houses/lagos/ikorodu/igbogbo/2741145-uncompleted-building
Lovely Built 3 Bedroom Apartment,"Gbagada, Lagos","₦85,000,000","Nest Greeks Investment Limited
  08061220887",3,N/A,N/A,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/gbagada/3361655-lovely-built-3-bedroom-apartment
3 Bedroom Flat With A Room Service Quarter,"Adekunle Fajuyi Way,, Ikeja GRA, Ikeja, Lagos","₦375,000,000","Ayodele Odunuga And Company
  08024921567",3,N/A,N/A,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikeja/gra/2210743-3-bedroom-flat-with-a-room-service-quarter
3 Bedroom Detached House,"Lekki Scheme Ii,, Ogombo, Ajah, Lagos","₦180,000,000","Ayodele Odunuga And Company
  08024921567",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/ogombo/2676363-3-bedroom-detached-house
3 Bedroom Terrace House With Bq,"Lekki County Estate, Lekki, Lagos","₦120,000,000","Ayodele Odunuga And Company
  08024921567",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/2817707-3-bedroom-terrace-house-with-bq
Distress 3 Bedroom Semi Detached Duplex,"Sangotedo, Ajah, Lagos","₦70,000,000","Fortune Flip Real Estate
  07066771574",3,4,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/ajah/sangotedo/3345542-distress-3-bedroom-semi-detached-duplex
Newly Built 3 Bedroom Apartment,"GRA Phase 2, Magodo, Lagos","₦220,000,000","Homeswithdavid
  07014862309",3,N/A,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/magodo/gra-phase-2/3341420-newly-built-3-bedroom-apartment
Exquisitely Built 3 Bedroom Terrace Detached Duplex,"Oko-oba, Agege, Lagos","₦130,000,000","Homeswithdavid
  07014862309",3,N/A,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/agege/oko-oba/3342805-exquisitely-built-3-bedroom-terrace-detached-duplex
3 Bedroom Flat With Excellent Facility,"Off Amadu Bello Road, Victoria Island Extension, Victoria Island (VI), Lagos","₦450,000,000","Deluxe Residences Limited
  08038835833",3,4,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/victoria-island-extension/3046082-3-bedroom-flat-with-excellent-facility
Uncompleted 3 Bedroom,"Igbogbo, Ikorodu, Lagos","₦13,000,000","Nikolight
  07085741001",3,3,4,3,N/A,https://nigeriapropertycentre.com/for-sale/houses/lagos/ikorodu/igbogbo/2755601-uncompleted-3-bedroom
Off Plan Luxury 3 Bedroom Flat With Bq,"Oniru, Victoria Island (VI), Lagos","₦300,000,000","Bankofproperty Ltd
  08061764516",3,3,3,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/oniru/2682409-off-plan-luxury-3-bedroom-flat-with-bq
"Luxury 3 Bedroom, Maisonette","Orange Island, Lekki, Lagos","₦300,000,000","Kenneth Abuah Consult
  09137178516",3,4,4,3,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/orange-island/3361513-luxury-3-bedroom-maisonette
A Newly Built Block Of 3-Bedroom Apartment,"Emina Crescent, Off Toyin Street, Ikeja, Lagos","₦180,000,000","John Zedomi & Associates
  07013950476",3,3,3,2,N/A,https://nigeriapropertycentre.com/for-sale/houses/lagos/ikeja/3361516-a-newly-built-block-of-3-bedroom-apartment
3 Units Of 4 Bedrooms Terrace House With Boys Quarters,"Ilasan, Lekki, Lagos","₦280,000,000","Kenneth Abuah Consult
  09137178516",3,N/A,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/lagos/lekki/ilasan/3144528-3-units-of-4-bedrooms-terrace-house-with-boys-quarters
Luxury 3 Bedroom Flat,"Sangotedo, Ajah, Lagos","₦130,000,000","Kenneth Abuah Consult
  09137178516",3,4,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ajah/sangotedo/3190627-luxury-3-bedroom-flat
3 Bedroom Uncompleted,"Igbogbo Estate, Igbogbo, Ikorodu, Lagos","₦13,000,000","Nikolight
  07085741001",3,4,4,2,N/A,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/ikorodu/igbogbo/2849642-3-bedroom-uncompleted
Luxury 3 Bedroom,"Awobo Estate, Igbogbo, Ikorodu, Lagos","₦30,000,000","Nikolight
  07085741001",3,3,4,6,N/A,https://nigeriapropertycentre.com/for-sale/houses/detached-bungalows/lagos/ikorodu/igbogbo/3132978-luxury-3-bedroom
Luxury 3 Bedroom Bungalow,"Igbogbo, Ikorodu, Lagos","₦22,000,000","Nikolight
  07085741001",3,3,4,6,N/A,https://nigeriapropertycentre.com/for-sale/houses/lagos/ikorodu/igbogbo/3132990-luxury-3-bedroom-bungalow
Luxury 3 Bedroom Bungalow,"Igbogbo, Ikorodu, Lagos","₦25,000,000","Nikolight
  07085741001",3,3,4,9,N/A,https://nigeriapropertycentre.com/for-sale/houses/lagos/ikorodu/igbogbo/3156408-luxury-3-bedroom-bungalow
Elegant Newly Built 3bedroom Semi Detached Duplex In A Secured Estate,"Sangotedo, Ajah, Lagos","₦180,000,000","Wincovers Realty Ltd
  08103254940",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/ajah/3361427-elegant-newly-built-3bedroom-semi-detached-duplex-in-a-secured-estate
Lovely 3 Bedroom Apartment With Pool,"Lekki Phase 1, Lekki, Lagos","₦350,000,000","Parah Md
  09128450217",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3339423-lovely-3-bedroom-apartment-with-pool
Spacious 3 Bedroom Apartment With Bq,"Lekki Phase 1, Lekki, Lagos","₦370,000,000","Parah Md
  09128450217",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3327822-spacious-3-bedroom-apartment-with-bq
Luxury 3 Bedroom Apartment (Upstairs) In A Gated Area,"Ilasan, Ikate, Lekki, Lagos","₦165,000,000","Exquisite Global Ventures
  09158898595",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/ikate/3350028-luxury-3-bedroom-apartment-upstairs-in-a-gated-area
Luxury 3 Bedroom,"Emily Estate, Igbogbo, Ikorodu, Lagos","₦15,000,000","Nikolight
  07085741001",3,3,4,9,N/A,https://nigeriapropertycentre.com/for-sale/houses/lagos/ikorodu/igbogbo/3361407-luxury-3-bedroom
Standard And Spacious 3 Bedroom Apartment With Modern Features,"Oregun, Ikeja, Lagos","₦170,000,000","Bigfem Homes And Properties
  08125579519",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikeja/oregun/3361403-standard-and-spacious-3-bedroom-apartment-with-modern-features
Spacious 3 Bedroom Apartment,"Abijo, Lekki, Lagos","₦50,000,000","Outstanding Real Estate Limited
  09160794470",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/abijo/3210837-spacious-3-bedroom-apartment
Luxury 3 Bedroom Apartment With Bq,"Ikeja GRA, Ikeja, Lagos","₦400,000,000","Pathfinder Homes And Constructions Limited
  08067487430",3,N/A,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikeja/gra/3335942-luxury-3-bedroom-apartment-with-bq
Luxury 3 Bedroom Duplex Inside Decent Estate,"Harris Drive, VGC, Lekki, Lagos","₦85,000,000","Top Choice Properties Limited
  08051579152",3,3,4,3,N/A,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/victoria-garden-city/3361372-luxury-3-bedroom-duplex-inside-decent-estate
Furnished 3 Bedroom Terrace Duplex,"Ikota, Lekki, Lagos","₦125,000,000","Parah Md
  09128450217",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikota/3361334-furnished-3-bedroom-terrace-duplex
Luxury 3 Bedroom Terrace Duplex,"Horizon Premier Estate, Ikate, Lekki, Lagos","₦230,000,000","Heritageglobalproperty
  08028111215",3,3,4,3,N/A,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikate/3361323-luxury-3-bedroom-terrace-duplex
A Well Built Brand New 2 Bedroom Apartment With Standard Bq,"Ocean Breeze Estate, Ologolo, Lekki, Lagos","₦130,000,000","Islandpride Real Estate Ltd
  2348035473272",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/3358430-a-well-built-brand-new-2-bedroom-apartment-with-standard-bq
Off Plan Luxury 3 Bedroom Flat With Bq,"Oniru, Victoria Island (VI), Lagos","₦300,000,000","Bankofproperty Ltd
  08061764516",3,3,3,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/oniru/2682409-off-plan-luxury-3-bedroom-flat-with-bq
"Luxury 3-Bedroom Maisonette With Pool, Good For Residential/Commercial","Victoria Island (VI), Lagos","₦460,000,000","Ideal Homes & Properties
  08171969365",3,4,5,3,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/3361306-luxury-3-bedroom-maisonette-with-pool-good-for-residentialcommercial
3 Bedroom Terrace Duplex + Bq,"Ikota, Lekki, Lagos","₦150,000,000","Janick Properties
  +234912594511",3,3,4,1,N/A,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikota/2931085-3-bedroom-terrace-duplex-bq
3 Bedroom Bungalow + Bq,"Eleko, Ibeju Lekki, Lagos","₦75,000,000","Janick Properties
  +234912594511",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/detached-bungalows/lagos/lekki-ibeju/eleko/3327286-3-bedroom-bungalow-bq
Gorgeous 3 Bedroom Fully Detached Duplex With A Room Bq,"Abraham Adesanya, Ajah, Lagos","₦110,000,000","Ideal Homes & Properties
  08171969365",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/3361259-gorgeous-3-bedroom-fully-detached-duplex-with-a-room-bq
Fancy 3 Bedroom Bungalow Semi Detached With A Room Bq,"Abraham Adesanya, Ajah, Lagos","₦100,000,000","Ideal Homes & Properties
  08171969365",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-bungalows/lagos/ajah/3361247-fancy-3-bedroom-bungalow-semi-detached-with-a-room-bq
Luxury 3 Bedroom Flat,"Emily Estate, Igbogbo, Ikorodu, Lagos","₦15,000,000","Nikolight
  07085741001",3,3,4,9,N/A,https://nigeriapropertycentre.com/for-sale/houses/lagos/ikorodu/igbogbo/3361204-luxury-3-bedroom-flat
3 Bedroom Terrace Duplex,"Ikate, Lekki, Lagos","₦200,000,000","Distress Property Market
  08133786380",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikate/3361134-3-bedroom-terrace-duplex
3 Bedroom Fully Furnished Terrace Duplex,"Fairview Estate, Igando, Ikotun, Lagos","₦140,000,000","Heavensent Properties
  08102912408",3,N/A,N/A,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ikotun/igando/3201156-3-bedroom-fully-furnished-terrace-duplex
Newly Built 3 Bedroom Terraced Duplex,"General Paint, Ajah, Lagos","₦75,000,000","Heavensent Properties
  08102912408",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ajah/3210516-newly-built-3-bedroom-terraced-duplex
3 Bedroom Apartment,"Phase 1, Lekki, Lagos","₦400,000,000","Heavensent Properties
  08102912408",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/3213479-3-bedroom-apartment
3 Bedroom Apartment,"Ikate, Lekki, Lagos","₦90,000,000","Heavensent Properties
  08102912408",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/ikate/3228370-3-bedroom-apartment
3 Bedrooms Apartment,"Monastery Road, Sangotedo, Ajah, Lagos","₦65,000,000","Heavensent Properties
  08102912408",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ajah/sangotedo/3268284-3-bedrooms-apartment
"Luxurious 3 Bedroom Apartment With Elevator, Swimming Pool, Gym & Bq","Lekki Phase 1, Lekki, Lagos","₦430,000,000","Island Luxury Homes
  07015290935",3,3,4,3,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3361044-luxurious-3-bedroom-apartment-with-elevator-swimming-pool-gym-bq
"Newly Built 2 Bedroom Apartment With Swimming Pool, Gym And Bq","Lekki Phase 1, Lekki, Lagos","₦260,000,000","Island Luxury Homes
  07015290935",3,3,4,3,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3361043-newly-built-2-bedroom-apartment-with-swimming-pool-gym-and-bq
Well-Designed 3 Bedroom Apartment With A Boys' Quarters,"Lekki Phase 1, Lekki, Lagos","₦340,000,000","The Home Properties. A Division Of Onozefe Uzuazor Bridget Enterprise
  07034194181",3,N/A,N/A,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/lekki-phase-1/3361023-well-designed-3-bedroom-apartment-with-a-boys-quarters
"Contemporary 3 Bedroom Apartment With Swimming Pool, Gym And Elevator","Ikate, Lekki, Lagos","₦190,000,000","Island Luxury Homes
  07015290935",3,3,4,3,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/ikate/3360988-contemporary-3-bedroom-apartment-with-swimming-pool-gym-and-elevator
Spacious 3 Bedroom Apartment With An Elevator,"Lekki Phase 1, Lekki, Lagos","₦370,000,000","Island Luxury Homes
  07015290935",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3360978-spacious-3-bedroom-apartment-with-an-elevator
3 Bedrooms Elevated Bungalow With Mini Flat Bq,"Diamond Estate, Sangotedo, Ajah, Lagos","₦90,000,000","Cathyhills Edge Limited
  09133123447",3,N/A,N/A,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-bungalows/lagos/ajah/sangotedo/3355464-3-bedrooms-elevated-bungalow-with-mini-flat-bq
3 Bedroom With Bq,"Lekki Phase 1, Lekki, Lagos","₦330,000,000","Joe Etoniru And Associates
  09034271406",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3356374-3-bedroom-with-bq
Newly Built 2 Bedroom Maisonette,"Ikate, Lekki, Lagos","₦170,000,000","Lekki Luxury Expert
  09127982556",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/ikate/3359729-newly-built-2-bedroom-maisonette
Off Plan Luxury 3 Bedroom Flat With Bq,"Oniru, Victoria Island (VI), Lagos","₦300,000,000","Bankofproperty Ltd
  08061764516",3,3,3,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/oniru/2682409-off-plan-luxury-3-bedroom-flat-with-bq
3 Bedroom Apartment With Bq,"Ikate, Lekki, Lagos","₦270,000,000","Lekki Luxury Expert
  09127982556",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/ikate/3359597-3-bedroom-apartment-with-bq
A Block Of Flats (4 Units 3 Bedroom Apartment) On A Tarred Street,"Fidiso Estate, Abijo, Lekki, Lagos","₦250,000,000","Knight Angels Realties Ltd
  08151917169",3,3,4,7,N/A,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/lekki/abijo/3336716-a-block-of-flats-4-units-3-bedroom-apartment-on-a-tarred-street
Luxury 3 Bedroom Terrace Duplex With Bq And Solar,"Citadel Oasis By Abraham Adesanya, Ogombo, Ajah, Lagos","₦118,800,000","Innosinach Properties
  08036411790",3,N/A,N/A,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ajah/ogombo/3106566-luxury-3-bedroom-terrace-duplex-with-bq-and-solar
Luxury 3-Bedrooms Bungalow With Bq Selling Fast,"Solace City, Eleranigbe, Ibeju Lekki, Lagos","₦69,000,000","Innosinach Properties
  08036411790",3,N/A,N/A,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/detached-bungalows/lagos/lekki-ibeju/eleranigbe/3308060-luxury-3-bedrooms-bungalow-with-bq-selling-fast
Luxury 3 Bedroom Bungalow With Bq,"Celebration Parkland Estate & Resort, Eleko, Ibeju Lekki, Lagos","₦75,000,000","Innosinach Properties
  08036411790",3,N/A,N/A,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/detached-bungalows/lagos/lekki-ibeju/eleko/3331867-luxury-3-bedroom-bungalow-with-bq
Luxury 3 Bedroom Bungalow With Bq,"Atlantic Nominee By Abraham Adesanya, Ajah, Lagos","₦100,000,000","Innosinach Properties
  08036411790",3,N/A,N/A,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/detached-bungalows/lagos/ajah/3342896-luxury-3-bedroom-bungalow-with-bq
Luxury 3 Bedroom Maisonette With Private Swimming Pool,"Victoria Island (VI), Lagos","₦460,000,000","Tetrad Homes
  07044983363",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/lagos/victoria-island/3360924-luxury-3-bedroom-maisonette-with-private-swimming-pool
Newly Built Luxury 3 Bedroom Flat,"Off Kilo, Masha, Surulere, Lagos","₦115,000,000","Chilla's Properties
  08053711911",3,3,4,1,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/surulere/masha/3015866-newly-built-luxury-3-bedroom-flat
3 Bedroom Terrace And Bq,"Orchid Road, Ikota, Lekki, Lagos","₦100,000,000","Equity Premier Ent
  08034661411",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikota/3360822-3-bedroom-terrace-and-bq
Luxury 3 Bedroom Duplex,"Emerald Estate, Ogombo, Ajah, Lagos","₦170,000,000","Sweethomes Realty
  08067562646",3,N/A,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/ogombo/3360777-luxury-3-bedroom-duplex
3 Bedroom Apartment,"Cromwell Estate, Chevron Drive, Lekki, Lagos","₦145,000,000","Osekemi Properties Limited
  07069648313",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/3253235-3-bedroom-apartment
Newly Built 3 Bedroom Apartment,"Lekki Phase 1, Lekki, Lagos","₦300,000,000","Rosemond Hills Limited
  08117340933",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3200606-newly-built-3-bedroom-apartment
Lovely 3 Bedroom Apartment,"Parkview, Ikoyi, Lagos","₦540,000,000","Rosemond Hills Limited
  08117340933",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/parkview/3281469-lovely-3-bedroom-apartment
3 Bedroom Semi Detached Duplex Bq,"Orchid Road, Lekki Expressway, Lekki, Lagos","₦140,000,000","Equity Premier Ent
  08034661411",3,4,5,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/lekki-expressway/3360743-3-bedroom-semi-detached-duplex-bq
Lovely 3 Bedroom Apartment,"Lekki Phase 1, Lekki, Lagos","₦350,000,000","De Itj Realty Company
  09035137760",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/lekki/lekki-phase-1/3360736-lovely-3-bedroom-apartment
3 Bedroom Semi-Detached House.,"Capital Loft Phase 2., Eleko, Ibeju Lekki, Lagos","₦99,800,000","Pro Samlight International
  07087629763",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/lagos/lekki-ibeju/eleko/3360715-3-bedroom-semi-detached-house
Renovated 3 Bedroom Semi Detached Duplex With Bq,"GRA Phase 1, Magodo, Lagos","₦180,000,000","Eric's Brokerage
  08104808005",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/magodo/gra-phase-1/3360695-renovated-3-bedroom-semi-detached-duplex-with-bq
3 Bedroom Apartment,"Gbagada, Lagos","₦110,000,000","Ridbadhomes
  07088301300",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/gbagada/3338034-3-bedroom-apartment
3 Bedroom Apartment,"Surulere, Lagos","₦130,000,000","Ridbadhomes
  07088301300",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/surulere/3360681-3-bedroom-apartment
Lovely 3 Bedroom Apartment With Bq,"Lekki Phase 1, Lekki, Lagos","₦390,000,000","De Itj Realty Company
  09035137760",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/lekki/lekki-phase-1/3360670-lovely-3-bedroom-apartment-with-bq
Off Plan 3 Bedroom Luxury With Bq With Payment Plan,"Banana Island, Ikoyi, Lagos","$676,000","Bankofproperty Ltd
  08061764516",3,3,4,3,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/banana-island/2376398-off-plan-3-bedroom-luxury-with-bq-with-payment-plan
Distress Deal! Exquisite 4 Bedroom Terrace Duplex,"Ikate, Lekki, Lagos","₦175,000,000","Wex Realty Ltd
  08165761095",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikate/3360625-distress-deal-exquisite-4-bedroom-terrace-duplex
3 Bedroom Penthouse With Cityview Bq,"Kunsala, Ikate, Ikate Elegushi, Lekki, Lagos","₦400,000,000","Cavier Property Investments Limited
  08056842804",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/ikate-elegushi/3277035-3-bedroom-penthouse-with-cityview-bq
Spread Payment Contemporary 3 Bedroom Terraced Duplex,"Atlantic Layout Estate, General Paint Bus-stop, Ajah, Lagos","₦150,000,000","Wrighthome Solution Managers
  +2348092835813",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ajah/3011751-spread-payment-contemporary-3-bedroom-terraced-duplex
Lovely 3 Bedroom Apartment With Bq,"Lekki Phase 1, Lekki, Lagos","₦470,000,000","De Itj Realty Company
  09035137760",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/lekki/lekki-phase-1/3360521-lovely-3-bedroom-apartment-with-bq
Lovely 3 Bedroom Apartment With Swimming Pool And Bq,"Lekki Phase 1, Lekki, Lagos","₦500,000,000","De Itj Realty Company
  09035137760",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/lekki/lekki-phase-1/3360509-lovely-3-bedroom-apartment-with-swimming-pool-and-bq
Well Maintained 3 Bedroom Apartment Upstairs In A Serviced Estate,"Milverton Estate, Osapa, Lekki, Lagos","₦180,000,000","Enerst Properties
  07069695490",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/osapa/3360456-well-maintained-3-bedroom-apartment-upstairs-in-a-serviced-estate
Luxury And Smart 3 Bedroom Terrace With A Bq,"Lekki Peninsula Scheme 2, Lekki Phase 2, Lekki, Lagos","₦135,000,000","Pro Samlight International
  07087629763",3,4,5,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/lekki-phase-2/3360431-luxury-and-smart-3-bedroom-terrace-with-a-bq
3-Bedroom Apartment With 1-Bedroom Boys' Quarter,"Off Allen Avenue, Alausa, Ikeja, Lagos","₦70,000,000","Babajide Okusaga & Company
  08032117012",3,N/A,N/A,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikeja/alausa/3288985-3-bedroom-apartment-with-1-bedroom-boys-quarter
6-Units Of 3-Bedroom Apartment,"Ikeja, Lagos","₦400,000,000","Jerman Ventures Co. Ltd
  08077738880",3,N/A,N/A,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/lagos/ikeja/3360289-6-units-of-3-bedroom-apartment
3-Bedroom Terraced Duplex,"Ikota, Lekki, Lagos","₦90,000,000","Juniville Realty Limited
  08100339652",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikota/3294945-3-bedroom-terraced-duplex
3 Bedrooms Terrace Duplex In A Serviced Estate,"Orchid Road, Lekki, Lagos","₦110,000,000","Jossy Divine Properties Nig Ltd
  09064405649",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/3210420-3-bedrooms-terrace-duplex-in-a-serviced-estate
Luxurious Fully Serviced 3 Bedroom Apartment,", Chevron, Lekki, Lagos","₦150,000,000","Phrg
  09038041298",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/lekki/3360207-luxurious-fully-serviced-3-bedroom-apartment
3-Bedroom Apartment,"Banana Island, Ikoyi, Lagos","₦950,000,000","C W Real Estate
  +2349062511340",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/banana-island/3360064-3-bedroom-apartment
A Gorgeous Waterfront View 3-Bedroom Apartment,"Banana Island, Ikoyi, Lagos","₦850,000,000","Divilux Realty
  08082143015",3,3,4,3,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/banana-island/3356585-a-gorgeous-waterfront-view-3-bedroom-apartment
A Newly Built 3- Bedroom Apartment,"Northern Foreshore Estate, Osapa, Lekki, Lagos","₦160,000,000","Divilux Realty
  08082143015",3,3,3,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/osapa/3356795-a-newly-built-3-bedroom-apartment
3 Bedroom Apartment With Bq,"Ikeja GRA, Ikeja, Lagos","₦400,000,000","Albasproperties
  07067995727",3,N/A,N/A,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikeja/gra/3359961-3-bedroom-apartment-with-bq
Luxurious 3 Bedroom Apartment,"Abraham Adesanya, Ogombo, Ajah, Lagos","₦138,000,000","Diverse Concept Ng
  08126678518",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ajah/ogombo/3359951-luxurious-3-bedroom-apartment
Luxury 3 Bedroom Flat,"Iporin Estate, Bode Thomas, Surulere, Lagos","₦70,000,000","Diverse Concept Ng
  08126678518",3,3,3,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/surulere/bode-thomas/3359939-luxury-3-bedroom-flat
