Title,Address,Price,Agent_Info,Bedroom,Bathroom,Toilet,Parking_Space,SQM,Link,Price_numeric
Tastefully Built 3 Bedroom Terrace Duplex With Bq,"Ikate, Lekki, Lagos","₦270,000,000",Wincovers Realty Ltd 08103254940,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/3302768-tastefully-built-3-bedroom-terrace-duplex-with-bq,270000000
Capacious 3 Bedroom Serviced Apartment In A Secure Estate.,"Ikate, Lekki, Lagos","₦190,000,000",Wincovers Realty Ltd 08103254940,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/ikate/3302835-capacious-3-bedroom-serviced-apartment-in-a-secure-estate,190000000
"Luxury Fully Serviced 3 Bedroom Apartment With Bq, Pool & Gym","Victoria Island (VI), Lagos","₦600,000,000",Wincovers Realty Ltd 08103254940,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/3341538-luxury-fully-serviced-3-bedroom-apartment-with-bq-pool-gym,600000000
Glamorous 3 Bedroom Apartment With Bq & Elevator In A Secured Estate,"Oniru, Victoria Island (VI), Lagos","₦450,000,000",Wincovers Realty Ltd 08103254940,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/oniru/3341576-glamorous-3-bedroom-apartment-with-bq-elevator-in-a-secured-estate,450000000
Exclusive 3 Bedroom Fully Detached Duplex With Bq,"Ogombo, Ajah, Lagos","₦180,000,000",Wincovers Realty Ltd 08103254940,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/3345450-exclusive-3-bedroom-fully-detached-duplex-with-bq,180000000
Brand New 3 Bedroom Detached Bungalow On Half Plot Of Land,"Baba Adisa, Ibeju Lekki, Lagos","₦50,000,000",Pablo Global Services Nig Ltd 09055294872,3,4.0,4.0,4.0,,https://nigeriapropertycentre.com/for-sale/houses/detached-bungalows/lagos/lekki-ibeju/baba-adisa/3326178-brand-new-3-bedroom-detached-bungalow-on-half-plot-of-land,50000000
3 Bedroom Apartment Ongoing Construction,"Old Ikoyi, Ikoyi, Lagos","$576,000",Charis Estate 08184876600,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/old-ikoyi/3358231-3-bedroom-apartment-ongoing-construction,576000
Luxury 3 Bedroom With Bq,"Abraham Adesanya, Ajah, Lagos","₦115,000,000",Fullness Solicitors +2348120261619,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ajah/3321199-luxury-3-bedroom-with-bq,115000000
Luxury 3 Bedroom Apartment With Excellent Features,"Eighteen 65 Residences, Ikeja, Lagos","₦240,000,000",Reg Integrated Services 09020197930,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/ikeja/3358221-luxury-3-bedroom-apartment-with-excellent-features,240000000
Direct Listing: Well Maintained 3-Bedroom Apartment,"County Apartments, Megamound Estate, Ikota, Lekki, Lagos","₦120,000,000",B A Leasing Services Ltd 07039337095,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/ikota/3045990-direct-listing-well-maintained-3-bedroom-apartment,120000000
3 Bedroom Terrace Duplex In Pristine Condition,"Ikate, Lekki, Lagos","₦175,000,000",Breathing Space. 07057302511,3,3.0,4.0,3.0,,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikate/3356813-3-bedroom-terrace-duplex-in-pristine-condition,175000000
Exquisitely Built 3-Bedroom Apartments,"Off Isaac John Street, Ikeja GRA, Ikeja, Lagos","₦340,000,000",Leeward Properties +2348022990214,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikeja/gra/3350960-exquisitely-built-3-bedroom-apartments,340000000
3 Bedroom Flats With Servant Quarters,"Mobolaji Bank Anthony Way,, Ikeja, Lagos","₦220,000,000",Leeward Properties +2348022990214,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikeja/3330440-3-bedroom-flats-with-servant-quarters,220000000
Luxury 3 Bedroom Maissionannate With Bq,"Oladimeji Alo, Lekki Phase 1, Lekki, Lagos","₦380,000,000",Divention Properties Limited 08032443481,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3358196-luxury-3-bedroom-maissionannate-with-bq,380000000
3-Bedroom Apartment + Bq,"Victoria Island (VI), Lagos","₦750,000,000",C W Real Estate +2349062511340,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/3358165-3-bedroom-apartment-bq,750000000
Two Units Of 3-Bedroom Maisonettes With Bq,"Victoria Island (VI), Lagos","₦450,000,000",C W Real Estate +2349062511340,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/3358120-two-units-of-3-bedroom-maisonettes-with-bq,450000000
Luxury 3-Bedroom Water View Apartment,"Banana Island, Ikoyi, Lagos","₦414,000,000",Heaven's Residences +2347050211581,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/banana-island/3358117-luxury-3-bedroom-water-view-apartment,414000000
3 Bedroom Maisonette On 2nd Floor,"By Hotel Newcastle, Anthony, Maryland, Lagos","₦210,000,000",17 Three Digital Realtors 09067442944,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/maryland/anthony/3358057-3-bedroom-maisonette-on-2nd-floor,210000000
3 Bedroom Terrace Duplex,"Ikota, Lekki, Lagos","₦120,000,000",Parah Md Properties Ltd 08104137577,3,3.0,4.0,3.0,,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikota/3337750-3-bedroom-terrace-duplex,120000000
3 Bedroom Apartment With Bq,"Lekki Phase 1, Lekki, Lagos","₦250,000,000",Parah Md Properties Ltd 08104137577,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3337651-3-bedroom-apartment-with-bq,250000000
Luxury 3 Bedroom Apartment With Bq,"Gra, Ikeja, Lagos","₦380,000,000",Knight Angels Realties Ltd 08151917169,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikeja/3358043-luxury-3-bedroom-apartment-with-bq,380000000
3 Bedroom Terrace + Bq,"Ikate, Lekki, Lagos","₦225,000,000",Balafama Realties 09135882965,3,3.0,4.0,3.0,,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikate/3310759-3-bedroom-terrace-bq,225000000
Luxury 3 Bedroom + Bq + Pool + Gym,"Banana Island, Ikoyi, Lagos","₦850,000,000",Balafama Realties 09135882965,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/banana-island/3357933-luxury-3-bedroom-bq-pool-gym,850000000
Exquisite And Tastefully Built 3 Bedroom Apartment,"Ikoyi, Lagos","$850,000",Anene & Associates 09158869834,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/2265782-exquisite-and-tastefully-built-3-bedroom-apartment,850000
Standard 3 Bedroom Terrace Duplex,"Ikota, Lekki, Lagos","₦90,000,000",Parah Md Properties Ltd 08104137577,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikota/3357890-standard-3-bedroom-terrace-duplex,90000000
Luxiry3 Bedroom Terrace Duplex,"Ikota Lekki,lagos., Lekki, Lagos","₦110,000,000",John Akhamie & Co. 09060005066,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/3357882-luxiry3-bedroom-terrace-duplex,110000000
Well Finished 3 Bedroom Apartments,"Lekki Phase 1, Lekki, Lagos","₦340,000,000",Parah Md Properties Ltd 08104137577,3,3.0,4.0,3.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3357855-well-finished-3-bedroom-apartments,340000000
15 Units Of 3 Bedroom Apartments,"Old Ikoyi, Ikoyi, Lagos","$8,000,000",Anene & Associates 09158869834,3,,,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/old-ikoyi/3357811-15-units-of-3-bedroom-apartments,8000000
Well Built 3 Bedroom Semidetached Duplex,"Lekki, Lagos","₦200,000,000",Arealhomesng 09065277779,3,3.0,4.0,4.0,,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3356693-well-built-3-bedroom-semidetached-duplex,200000000
"3 Bedroom Apartment With Bq, Elevator And Pool","Ikeja GRA, Ikeja, Lagos","₦400,000,000",Pmng Acquisitions Ltd (paymonthly.ng). 08023828064,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikeja/gra/3357784-3-bedroom-apartment-with-bq-elevator-and-pool,400000000
