Title,Address,Price,Agent_Info,Bedroom,Bathroom,Toilet,Parking_Space,SQM,Link,Price_numeric
16 Units Of 3 Bedroom Flat,"Off Isaac John Street, Ikeja GRA, Ikeja, Lagos","₦400,000,000",Leeward Properties +2348022990214,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikeja/gra/3356578-16-units-of-3-bedroom-flat,400000000
Uncompleted Building,"Igbogbo, Ikorodu, Lagos","₦7,000,000",Nikolight 07085741001,3,3.0,3.0,3.0,,https://nigeriapropertycentre.com/for-sale/houses/lagos/ikorodu/igbogbo/2741145-uncompleted-building,7000000
Lovely Built 3 Bedroom Apartment,"Gbagada, Lagos","₦85,000,000",Nest Greeks Investment Limited 08061220887,3,,,,,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/gbagada/3361655-lovely-built-3-bedroom-apartment,85000000
3 Bedroom Flat With A Room Service Quarter,"Adekunle Fajuyi Way,, Ikeja GRA, Ikeja, Lagos","₦375,000,000",Ayodele Odunuga And Company 08024921567,3,,,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikeja/gra/2210743-3-bedroom-flat-with-a-room-service-quarter,375000000
3 Bedroom Detached House,"Lekki Scheme Ii,, Ogombo, Ajah, Lagos","₦180,000,000",Ayodele Odunuga And Company 08024921567,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/ogombo/2676363-3-bedroom-detached-house,180000000
3 Bedroom Terrace House With Bq,"Lekki County Estate, Lekki, Lagos","₦120,000,000",Ayodele Odunuga And Company 08024921567,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/2817707-3-bedroom-terrace-house-with-bq,120000000
Distress 3 Bedroom Semi Detached Duplex,"Sangotedo, Ajah, Lagos","₦70,000,000",Fortune Flip Real Estate 07066771574,3,4.0,4.0,,,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/ajah/sangotedo/3345542-distress-3-bedroom-semi-detached-duplex,70000000
Newly Built 3 Bedroom Apartment,"GRA Phase 2, Magodo, Lagos","₦220,000,000",Homeswithdavid 07014862309,3,,4.0,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/magodo/gra-phase-2/3341420-newly-built-3-bedroom-apartment,220000000
Exquisitely Built 3 Bedroom Terrace Detached Duplex,"Oko-oba, Agege, Lagos","₦130,000,000",Homeswithdavid 07014862309,3,,4.0,,,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/agege/oko-oba/3342805-exquisitely-built-3-bedroom-terrace-detached-duplex,130000000
3 Bedroom Flat With Excellent Facility,"Off Amadu Bello Road, Victoria Island Extension, Victoria Island (VI), Lagos","₦450,000,000",Deluxe Residences Limited 08038835833,3,4.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/victoria-island-extension/3046082-3-bedroom-flat-with-excellent-facility,450000000
